Dia,Volum
2023-08-12,2.84
2023-08-13,2.7800000000000002
2023-08-14,3.02
2023-08-15,3.08
2023-08-16,3.0700000000000003
2023-08-17,3.0700000000000003
2023-08-18,2.76
2023-08-19,2.58
2023-08-20,2.63
2023-08-21,2.58
2023-08-22,2.5700000000000003
2023-08-23,2.5999999999999996
2023-08-24,2.5999999999999996
2023-08-25,2.59
2023-08-26,2.6
2023-08-27,2.61
2023-08-28,1.61
2023-08-29,1.11
2023-08-30,1.25
2023-08-31,17.77
2023-09-01,3.4
2023-09-02,3.22
2023-09-03,2.9299999999999997
2023-09-04,3.17
2023-09-05,3.2199999999999998
2023-09-06,3.26
2023-09-07,3.21
2023-09-08,3.27
2023-09-09,3.19
2023-09-10,3.1100000000000003
2023-09-11,2.93
2023-09-12,3.0199999999999996
2023-09-13,44.019999999999996
2023-09-14,3.17
2023-09-15,3.12
2023-09-16,0.02
2023-09-17,1.8599999999999999
2023-09-18,3.1799999999999997
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,3.34
2023-09-22,3.33
2023-09-23,3.26
2023-09-24,2.9
2023-09-25,3.0
2023-09-26,3.26
2023-09-27,3.27
2023-09-28,3.29
2023-09-29,3.3499999999999996
2023-09-30,3.17
2023-10-01,3.31
2023-10-02,3.3499999999999996
2023-10-03,3.3499999999999996
2023-10-04,3.3
2023-10-05,0.0
2023-10-06,3.29
2023-10-07,3.23
2023-10-08,3.13
2023-10-09,2.84
2023-10-10,3.29
2023-10-11,3.3
2023-10-12,3.21
2023-10-13,3.3
2023-10-14,3.18
2023-10-15,2.84
2023-10-16,0.02
2023-10-17,0.02
2023-10-18,0.02
2023-10-19,1.38
2023-10-20,0.12000000000000001
2023-10-21,0.6699999999999999
2023-10-22,2.06
2023-10-23,1.54
2023-10-24,2.17
2023-10-25,0.8400000000000001
2023-10-26,2.08
2023-10-27,0.03
2023-10-28,3.09
2023-10-29,3.08
2023-10-30,0.99
2023-10-31,1.79
2023-11-01,3.09
2023-11-02,2.18
2023-11-03,0.8
2023-11-04,3.01
2023-11-05,2.6
2023-11-06,2.8200000000000003
2023-11-07,3.04
2023-11-08,2.95
2023-11-09,2.94
2023-11-10,3.1500000000000004
2023-11-11,3.13
2023-11-12,3.0300000000000002
2023-11-13,3.16
2023-11-14,3.25
2023-11-15,3.16
2023-11-16,3.2800000000000002
2023-11-17,3.3
2023-11-18,3.25
2023-11-19,3.25
2023-11-20,3.3099999999999996
2023-11-21,3.32
2023-11-22,3.29
2023-11-23,3.29
2023-11-24,3.27
2023-11-25,3.23
2023-11-26,3.19
2023-11-27,2.9
2023-11-28,3.26
2023-11-29,3.26
2023-11-30,1.99
2023-12-01,1.46
2023-12-02,1.69
2023-12-03,3.2300000000000004
2023-12-04,3.31
2023-12-05,3.24
2023-12-06,3.2300000000000004
2023-12-07,3.26
2023-12-08,3.29
2023-12-09,2.94
2023-12-10,3.2
2023-12-11,3.14
2023-12-12,3.12
2023-12-13,3.1900000000000004
2023-12-14,3.24
2023-12-15,3.21
2023-12-16,3.2
2023-12-17,3.18
2023-12-18,3.27
2023-12-19,2.5300000000000002
2023-12-20,3.3200000000000003
2023-12-21,3.32
2023-12-22,3.31
2023-12-23,3.22
2023-12-24,3.17
2023-12-25,3.1
2023-12-26,2.99
2023-12-27,3.0
2023-12-28,3.1900000000000004
2023-12-29,3.17
2023-12-30,3.1799999999999997
2023-12-31,2.99
2024-01-01,3.1
2024-01-02,3.08
2024-01-03,3.1900000000000004
2024-01-04,3.22
2024-01-05,3.25
2024-01-06,3.24
2024-01-07,3.0700000000000003
2024-01-08,3.25
2024-01-09,3.22
2024-01-10,2.8200000000000003
2024-01-11,3.01
2024-01-12,3.08
